customer_tweet_id,customer_message,gold_intent,pred_intent,intent_confidence,gold_action,pred_action,escalation_reason,reply,top_evidence,human_groundedness,human_correctness,human_actionability,human_safety,human_no_hallucination
1447750,"@AskPlayStation I'm having problems with my WWE 2k18 season pass, it did not make all Superstars playable. The nxt Kickstart worked, don't know what to do",other,other,0.254,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Hi there! Please let us know the exact issue that you are experiencing with your PS4.,@534448 Hi there! Please let us know the exact issue that you are experiencing with your PS4.,,,,,
407209,@AskPlayStation recently updated to the newest update. Turned on my PlayStation and now my TV doesn’t recognize the PlayStation.,download_installation,download_installation,0.794,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Hello Doug. Sorry to hear that. Please check your DM's for further instructions.,@736132 Hello Doug. Sorry to hear that. Please check your DM's for further instructions.,,,,,
2368878,@AskPlayStation Why can't my family members not use the games we already own! When they were a subaccount they could,account_access,account_access,0.192,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Hi there. That's not good. Start your PS4 in safe mode and select Rebuild Database:,@205170 Hi there. That's not good. Start your PS4 in safe mode and select Rebuild Database: https://t.co/OOaq76kzAA,,,,,
938827,@116216 La ps4 pro no manda señal al tv si esta conectada con la unidad de procesamiento psvr. Con el hdmi directo al tv si funciona.,console_hardware,console_hardware,0.63,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request","Muchas gracias, ha intentado con una TV differente?","@514779 Muchas gracias, ha intentado con una TV differente?",,,,,
860414,"@AskPlayStation hola lo que pasa es que obtuve un trofeo en un juego y no me lo contó, que puedo hacer para solucionarlo ?",other,other,0.505,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Hola. Siguenos a traves de Twitter para poder enviarte un mensaje privado via Twitter con instrucciones.,@258862 Hola. Siguenos a traves de Twitter para poder enviarte un mensaje privado via Twitter con instrucciones.,,,,,
945376,"@AskPlayStation. Trying to get a PSN live chat but it keeps saying there's no user with my online id, i put everything correct, Help",network_psn,network_psn,0.834,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Glad to help! Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions.,@395794 Glad to help!  Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions.,,,,,
374042,@AskPlayStation my PS4 was stollen. How do i deactivate my profile off that console?,console_hardware,console_hardware,0.883,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",You can find the steps here:,@643470 You can find the steps here: https://t.co/cwlbAhAeJv,,,,,
953645,@AskPlayStation i forgot my birth of date and i want to change my password. Can you help me?,account_access,account_access,0.868,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Please check your direct messages.,@217308 Please check your direct messages.,,,,,
2628159,"@121984 E para quem está preso na versão 4.74 do software do sistema? Com o erro E-801809A8 não dá para atualizar para as versões 5.00 ou 5.01. Sem PSN, como baixo?",network_psn,network_psn,0.532,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request","Boa tarde! Por favor siga o nosso Twitter e envie uma mensagem direta para nós, assim conseguir enviar futuras instruções.","@407364 Boa tarde! Por favor siga o nosso Twitter e envie uma mensagem direta para nós, assim conseguir enviar futuras instruções.",,,,,
668778,@AskPlayStation Followed y’all,other,other,0.836,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Thanks for the follow. Please check your DM's for further instructions.,@683657 Thanks for the follow. Please check your DM's for further instructions.,,,,,
