example_id,customer_tweet_id,support_tweet_id,customer_message,support_response,customer_created_at,support_created_at,pairing_method,intent,expected_action,reason_for_escalation,difficulty
1,1187483,1187482,@AskPlayStation when are the ps plus games going to be revealed for next month?,@399226 Hello there. There isn't information about it. Check our blog for news and updates: https://t.co/v141IWB0Dt,2017-10-24 17:19:21+00:00,2017-10-24 23:58:22+00:00,support_parent,,,,
2,1177672,1177673,@AskPlayStation I have initialised the PS4 and still the problem continues with the game error,@396987 Is the issue happening with more games?,2017-10-25 20:10:42+00:00,2017-10-25 20:19:13+00:00,support_parent,,,,
3,321565,321564,@AskPlayStation Can we expect A&amp;E to be added to the Vue offerings? It's kinda a big deal 😬,@192604 Thank you for the feedback! You can always make suggestions for new content on our Suggestion Blog here. https://t.co/AdZuBWxk1A,2017-10-07 07:01:14+00:00,2017-10-07 13:03:31+00:00,support_parent,,,,
4,2172714,2172712,"@AskPlayStation Did that, and nothing happened. Still haven't received those FIFA points.",@637153 If your game is a physical copy make sure it's from the same region as your PSN account.,2017-11-09 14:33:23+00:00,2017-11-09 14:37:35+00:00,support_parent,,,,
5,1472077,1472075,"@AskPlayStation I'm having problems opening the PS store/Communities on my PS4, wondering what the problem may be",@461700 Hi Josh. Let's look into that. Do you have a wired or a wireless connection? Do you see an error message or an error code?,2017-10-28 19:00:24+00:00,2017-10-28 20:59:58+00:00,support_parent,,,,
6,1031441,1031442,@AskPlayStation Ok ty,@364066 No problem!,2017-10-14 18:43:05+00:00,2017-10-14 18:46:09+00:00,support_parent,,,,
7,259144,259145,@AskPlayStation Still giving me error code (NW-31295-0),@177625 Oh no! Please check your direct messages for further assistance.,2017-10-05 20:57:16+00:00,2017-10-05 21:00:26+00:00,support_parent,,,,
8,659661,659660,@AskPlayStation can you please send me an email to my main email to get my PSN account unbanned,@273411 The Emaill with the info about why is your account banned it will be sent to the email associated with the PSN account.,2017-11-22 22:26:56+00:00,2017-11-22 23:52:28+00:00,support_parent,,,,
9,1622672,1622669,@116216 Intento entrar al chat en vivo y me sale esto mi cuenta la tengo de 16 de septiembre de 2014 y me sale que es nuevo ayuda https://t.co/sXL7F5cgiZ,@497133 Hola. Siguenos a traves de Twitter para poder enviarte un mensaje privado con instrucciones.,2017-11-05 17:14:14+00:00,2017-11-05 17:19:08+00:00,support_parent,,,,
10,1808966,1808965,"@AskPlayStation I purchased Fortnite and other accounts cannot play it on my primary ps4, I've clearly been lied to. What now? https://t.co/pIggneHebE","@543457 Hi Tony. Sorry to hear that. Please make sure you are following us, so we can assist you better via a Direct Message.",2017-10-18 01:33:00+00:00,2017-10-18 01:47:08+00:00,support_parent,,,,
